,index,regionid,regionname,sizerank,tier,date,income,zri,percentincomespentonrent,state
0,0,394913,"New York, NY",1,Bottom Tier,2011-12-31,19250.0,1503,0.936935064935065,NY
1,1,394913,"New York, NY",1,Upper Tier,2011-12-31,152000.0,2908,0.229578947368421,NY
2,2,394913,"New York, NY",1,Bottom Tier,2012-03-31,19375.0,1514,0.9377032258064516,NY
3,3,394913,"New York, NY",1,Upper Tier,2012-03-31,153000.0,2978,0.2335686274509804,NY
4,4,394913,"New York, NY",1,Bottom Tier,2012-06-30,19500.0,1526,0.939076923076923,NY
5,5,394913,"New York, NY",1,Upper Tier,2012-06-30,154000.0,3042,0.237038961038961,NY
6,6,394913,"New York, NY",1,Bottom Tier,2012-09-30,19625.0,1542,0.9428789808917196,NY
7,7,394913,"New York, NY",1,Upper Tier,2012-09-30,155150.0,3096,0.2394585884627779,NY
8,8,394913,"New York, NY",1,Bottom Tier,2012-12-31,19750.0,1563,0.9496708860759494,NY
9,9,394913,"New York, NY",1,Upper Tier,2012-12-31,156300.0,3133,0.2405374280230326,NY
10,10,394913,"New York, NY",1,Bottom Tier,2013-03-31,19875.0,1585,0.9569811320754718,NY
11,11,394913,"New York, NY",1,Upper Tier,2013-03-31,157450.0,3160,0.2408383613845665,NY
12,12,394913,"New York, NY",1,Bottom Tier,2013-06-30,20000.0,1610,0.966,NY
13,13,394913,"New York, NY",1,Upper Tier,2013-06-30,158600.0,3175,0.2402269861286254,NY
14,14,394913,"New York, NY",1,Bottom Tier,2013-09-30,20000.0,1634,0.9804,NY
15,15,394913,"New York, NY",1,Upper Tier,2013-09-30,160075.0,3186,0.2388380446665625,NY
16,16,394913,"New York, NY",1,Bottom Tier,2013-12-31,20000.0,1653,0.9918,NY
17,17,394913,"New York, NY",1,Upper Tier,2013-12-31,161550.0,3202,0.2378458681522748,NY
18,18,394913,"New York, NY",1,Bottom Tier,2014-03-31,20000.0,1669,1.0014,NY
19,19,394913,"New York, NY",1,Upper Tier,2014-03-31,163025.0,3231,0.2378285539027756,NY
20,20,394913,"New York, NY",1,Bottom Tier,2014-06-30,20000.0,1689,1.0134,NY
21,21,394913,"New York, NY",1,Upper Tier,2014-06-30,164500.0,3288,0.239854103343465,NY
22,22,394913,"New York, NY",1,Bottom Tier,2014-09-30,20092.5,1712,1.0224710712952594,NY
23,23,394913,"New York, NY",1,Upper Tier,2014-09-30,166309.5,3364,0.2427281664607253,NY
24,24,394913,"New York, NY",1,Bottom Tier,2014-12-31,20185.0,1741,1.0350260094129304,NY
25,25,394913,"New York, NY",1,Upper Tier,2014-12-31,168119.0,3447,0.2460400073757279,NY
26,26,394913,"New York, NY",1,Bottom Tier,2015-03-31,20277.5,1780,1.0533842929355195,NY
27,27,394913,"New York, NY",1,Upper Tier,2015-03-31,169928.5,3491,0.2465272158584345,NY
28,28,394913,"New York, NY",1,Bottom Tier,2015-06-30,20370.0,1823,1.0739322533136966,NY
29,29,394913,"New York, NY",1,Upper Tier,2015-06-30,171738.0,3449,0.2409950040177479,NY
30,30,394913,"New York, NY",1,Bottom Tier,2015-09-30,20462.5,1866,1.0942944410507025,NY
31,31,394913,"New York, NY",1,Upper Tier,2015-09-30,173547.5,3376,0.233434650455927,NY
32,32,394913,"New York, NY",1,Bottom Tier,2015-12-31,20555.0,1905,1.1121381658963756,NY
33,33,394913,"New York, NY",1,Upper Tier,2015-12-31,175357.0,3309,0.2264409176708087,NY
34,34,394913,"New York, NY",1,Bottom Tier,2016-03-31,20647.5,1927,1.1199418815837268,NY
35,35,394913,"New York, NY",1,Upper Tier,2016-03-31,177166.5,3262,0.2209447045575772,NY
36,36,394913,"New York, NY",1,Bottom Tier,2016-06-30,20740.0,1932,1.1178399228543876,NY
37,37,394913,"New York, NY",1,Upper Tier,2016-06-30,178976.0,3256,0.2183086000357589,NY
38,38,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2010-12-31,18850.0,1197,0.7620159151193634,CA
39,39,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2010-12-31,130900.0,2175,0.1993888464476699,CA
40,40,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2011-03-31,18975.0,1202,0.7601581027667984,CA
41,41,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2011-03-31,131950.0,2147,0.1952557787040545,CA
42,42,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2011-06-30,19100.0,1209,0.7595811518324608,CA
43,43,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2011-06-30,133000.0,2122,0.1914586466165413,CA
44,44,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2011-09-30,19100.0,1216,0.763979057591623,CA
45,45,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2011-09-30,134000.0,2099,0.1879701492537313,CA
46,46,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2011-12-31,19100.0,1235,0.7759162303664922,CA
47,47,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2011-12-31,135000.0,2107,0.1872888888888889,CA
48,48,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2012-03-31,19100.0,1259,0.7909947643979057,CA
49,49,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2012-03-31,136000.0,2122,0.187235294117647,CA
50,50,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2012-06-30,19100.0,1284,0.8067015706806283,CA
51,51,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2012-06-30,137000.0,2140,0.1874452554744525,CA
52,52,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2012-09-30,19325.0,1308,0.8122121604139715,CA
53,53,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2012-09-30,137750.0,2156,0.1878185117967332,CA
54,54,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2012-12-31,19550.0,1328,0.8151406649616368,CA
55,55,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2012-12-31,138500.0,2170,0.188014440433213,CA
56,56,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2013-03-31,19775.0,1347,0.8173957016434893,CA
57,57,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2013-03-31,139250.0,2191,0.1888114901256732,CA
58,58,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2013-06-30,20000.0,1366,0.8196,CA
59,59,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2013-06-30,140000.0,2220,0.1902857142857142,CA
60,60,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2013-09-30,20200.0,1380,0.8198019801980198,CA
61,61,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2013-09-30,141600.0,2251,0.1907627118644067,CA
62,62,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2013-12-31,20400.0,1387,0.8158823529411765,CA
63,63,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2013-12-31,143200.0,2279,0.1909776536312849,CA
64,64,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2014-03-31,20600.0,1393,0.8114563106796117,CA
65,65,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2014-03-31,144800.0,2317,0.1920165745856353,CA
66,66,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2014-06-30,20800.0,1406,0.8111538461538461,CA
67,67,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2014-06-30,146400.0,2367,0.1940163934426229,CA
68,68,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2014-09-30,20896.2,1429,0.8206276739311453,CA
69,69,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2014-09-30,148010.4,2425,0.1966078059379611,CA
70,70,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2014-12-31,20992.4,1465,0.8374459328137802,CA
71,71,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2014-12-31,149620.8,2486,0.199384042860351,CA
72,72,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2015-03-31,21088.6,1519,0.8643532524681582,CA
73,73,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2015-03-31,151231.2,2552,0.2024978972592956,CA
74,74,753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2015-06-30,21184.8,1591,0.9012121898719836,CA
