,DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
0,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Aluminum,,Extractable,254.7,ug/L,Actual,,,ug/L,,Preliminary,,110688.0,ENV/CANADA,,,,,ECCCLabs,
1,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Apparent color,,,133.0,TCU,Actual,,,TCU,,Preliminary,,2011.0,ENV/CANADA,,,,,ECCCLabs,
2,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Calcium,,Dissolved,1.1,mg/L,Actual,,,mg/L,,Preliminary,,20110.0,ENV/CANADA,,,,,ECCCLabs,
3,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Chloride,,Dissolved,6.13,mg/L,Actual,,,mg/L,,Preliminary,,17209.0,ENV/CANADA,,,,,ECCCLabs,
4,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Gran acid neutralizing capacity,,,-0.24,mg/L,Actual,,,mg/L,,Preliminary,,10110.0,ENV/CANADA,,,,,ECCCLabs,
5,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Iron,,Extractable,0.261,mg/L,Actual,,,mg/L,,Preliminary,,102082.0,ENV/CANADA,,,,,ECCCLabs,
6,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Magnesium,,Dissolved,0.6,mg/L,Actual,,,mg/L,,Preliminary,,12107.0,ENV/CANADA,,,,,ECCCLabs,
7,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Manganese,,Extractable,18.8,ug/L,Actual,,,ug/L,,Preliminary,,110699.0,ENV/CANADA,,,,,ECCCLabs,
8,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Nitrate,as N,"Filtered, lab",0.03,mg/L,Actual,,,mg/L,,Preliminary,,7315.0,ENV/CANADA,,,,,ECCCLabs,
9,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Organic carbon,,Total,15.6,mg/L,Actual,,,mg/L,,Preliminary,,3019.0,ENV/CANADA,,,,,ECCCLabs,
10,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,pH,,,4.75,,Actual,,,,,Preliminary,,10301.0,ENV/CANADA,,,,,ECCCLabs,
11,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Potassium,,Dissolved,0.26,mg/L,Actual,,,mg/L,,Preliminary,,19103.0,ENV/CANADA,,,,,ECCCLabs,
12,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Sodium,,Dissolved,4.2,mg/L,Actual,,,mg/L,,Preliminary,,11103.0,ENV/CANADA,,,,,ECCCLabs,
13,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Specific conductance,,,39.3,uS/cm,Actual,,,uS/cm,,Preliminary,,2041.0,ENV/CANADA,,,,,ECCCLabs,
14,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Sulfate,,Dissolved,2.14,mg/L,Actual,,,mg/L,,Preliminary,,16309.0,ENV/CANADA,,,,,ECCCLabs,
15,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,"Total Nitrogen, mixed forms",as N,Unfiltered,0.14,mg/L,Actual,,,mg/L,,Preliminary,,7601.0,ENV/CANADA,,,,,ECCCLabs,
16,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Aluminum,,Extractable,86.3,ug/L,Actual,,,ug/L,,Preliminary,,110688.0,ENV/CANADA,,,,,ECCCLabs,
17,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Apparent color,,,34.0,TCU,Actual,,,TCU,,Preliminary,,2011.0,ENV/CANADA,,,,,ECCCLabs,
18,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Calcium,,Dissolved,0.7,mg/L,Actual,,,mg/L,,Preliminary,,20110.0,ENV/CANADA,,,,,ECCCLabs,
19,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Chloride,,Dissolved,4.73,mg/L,Actual,,,mg/L,,Preliminary,,17209.0,ENV/CANADA,,,,,ECCCLabs,
20,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Gran acid neutralizing capacity,,,0.11,mg/L,Actual,,,mg/L,,Preliminary,,10110.0,ENV/CANADA,,,,,ECCCLabs,
21,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Iron,,Extractable,0.186,mg/L,Actual,,,mg/L,,Preliminary,,102082.0,ENV/CANADA,,,,,ECCCLabs,
22,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Magnesium,,Dissolved,0.52,mg/L,Actual,,,mg/L,,Preliminary,,12107.0,ENV/CANADA,,,,,ECCCLabs,
23,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Manganese,,Extractable,42.8,ug/L,Actual,,,ug/L,,Preliminary,,110699.0,ENV/CANADA,,,,,ECCCLabs,
24,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Nitrate,as N,"Filtered, lab",0.02,mg/L,Actual,,,mg/L,,Preliminary,,7315.0,ENV/CANADA,,,,,ECCCLabs,
